0,0,0
0,1,1
0,2,4
0,3,9
0,4,16
0,5,25
0,6,36
0,7,49
0,8,64
0,9,81
0,10,100
0,11,121
0,12,144
0,13,169
0,14,196
0,15,225
0,16,256
0,17,289
0,18,324
0,19,361
0,20,400
0,21,441
0,22,484
0,23,529
0,24,576
0,25,625
0,26,676
0,27,729
0,28,784
0,29,841
0,30,900
0,31,961
0,32,1024
0,33,1089
0,34,1156
0,35,1225
0,36,1296
0,37,1369
0,38,1444
0,39,1521
0,40,1600
0,41,1681
0,42,1764
0,43,1849
0,44,1936
0,45,2025
0,46,2116
0,47,2209
0,48,2304
0,49,2401
0,50,2500
0,51,2601
0,52,2704
0,53,2809
0,54,2916
0,55,3025
0,56,3136
0,57,3249
0,58,3364
0,59,3481
0,60,3600
0,61,3721
0,62,3844
0,63,3969
0,64,4096
0,65,4225
0,66,4356
0,67,4489
0,68,4624
0,69,4761
0,70,4900
0,71,5041
0,72,5184
0,73,5329
0,74,5476
0,75,5625
0,76,5776
0,77,5929
0,78,6084
0,79,6241
0,80,6400
0,81,6561
0,82,6724
0,83,6889
0,84,7056
0,85,7225
0,86,7396
0,87,7569
0,88,7744
0,89,7921
0,90,8100
0,91,8281
0,92,8464
0,93,8649
0,94,8836
0,95,9025
0,96,9216
0,97,9409
0,98,9604
0,99,9801
1,0,1
1,1,2
1,2,5
1,3,10
1,4,17
1,5,26
1,6,37
1,7,50
1,8,65
1,9,82
1,10,101
1,11,122
1,12,145
1,13,170
1,14,197
1,15,226
1,16,257
1,17,290
1,18,325
1,19,362
1,20,401
1,21,442
1,22,485
1,23,530
1,24,577
1,25,626
1,26,677
1,27,730
1,28,785
1,29,842
1,30,901
1,31,962
1,32,1025
1,33,1090
1,34,1157
1,35,1226
1,36,1297
1,37,1370
1,38,1445
1,39,1522
1,40,1601
1,41,1682
1,42,1765
1,43,1850
1,44,1937
1,45,2026
1,46,2117
1,47,2210
1,48,2305
1,49,2402
1,50,2501
1,51,2602
1,52,2705
1,53,2810
1,54,2917
1,55,3026
1,56,3137
1,57,3250
1,58,3365
1,59,3482
1,60,3601
1,61,3722
1,62,3845
1,63,3970
1,64,4097
1,65,4226
1,66,4357
1,67,4490
1,68,4625
